Column1,Column2,Column3
Kilimanjaro Safaris,2021-07-23 23:55:06.614627-04:00,Closed
Pangani Forest Exploration Trail,2021-07-23 23:55:06.614859-04:00,Closed
Wildlife Express Train,2021-07-23 23:55:06.614921-04:00,Closed
Expedition Everest - Legend of the Forbidden Mountain®,2021-07-23 23:55:06.614962-04:00,Closed
Kali River Rapids,2021-07-23 23:55:06.615002-04:00,Closed
DINOSAUR,2021-07-23 23:55:06.615038-04:00,Closed
The Boneyard,2021-07-23 23:55:06.615073-04:00,Closed
TriceraTop Spin,2021-07-23 23:55:06.615107-04:00,Closed
It's Tough to be a Bug!,2021-07-23 23:55:06.615141-04:00,Closed
Avatar Flight of Passage,2021-07-23 23:55:06.615175-04:00,Closed
Na'vi River Journey,2021-07-23 23:55:06.615213-04:00,Closed
The Animation Experience at Conservation Station,2021-07-23 23:55:06.615246-04:00,Closed
Affection Section,2021-07-23 23:55:06.615290-04:00,Closed
African Birds - Disney Animals,2021-07-23 23:55:06.615324-04:00,Closed
African Elephants - Disney Animals,2021-07-23 23:55:06.615357-04:00,Closed
African Hogs - Disney Animals,2021-07-23 23:55:06.615391-04:00,Closed
African Lions - Disney Animals,2021-07-23 23:55:06.615425-04:00,Closed
Ankole Cattle - Disney Animals,2021-07-23 23:55:06.615458-04:00,Closed
Asian Small-Clawed Otters - Disney Animals,2021-07-23 23:55:06.615491-04:00,Closed
Black Rhinos - Disney Animals,2021-07-23 23:55:06.615525-04:00,Closed
Conservation Station,2021-07-23 23:55:06.615558-04:00,Closed
Cotton-Top Tamarins - Disney Animals,2021-07-23 23:55:06.615591-04:00,Closed
Dino-Sue,2021-07-23 23:55:06.615673-04:00,Closed
Discovery Island Trails,2021-07-23 23:55:06.615710-04:00,Closed
Flamingos - Disney Animals,2021-07-23 23:55:06.615745-04:00,Closed
Fossil Fun Games,2021-07-23 23:55:06.615778-04:00,Closed
Gibbons - Disney Animals,2021-07-23 23:55:06.615812-04:00,Closed
Giraffes - Disney Animals,2021-07-23 23:55:06.615845-04:00,Closed
Gorillas - Disney Animals,2021-07-23 23:55:06.615878-04:00,Closed
Hippopotamuses - Disney Animals,2021-07-23 23:55:06.615911-04:00,Closed
Invertebrates at Gorilla Falls Exploration Trail - Disney Animals,2021-07-23 23:55:06.615948-04:00,Closed
Invertebrates at Rafiki's Planet Watch - Disney Animals,2021-07-23 23:55:06.615982-04:00,Closed
Komodo Dragons - Disney Animals,2021-07-23 23:55:06.616016-04:00,Closed
Meerkats - Disney Animals,2021-07-23 23:55:06.616050-04:00,Closed
Migratory Birds at Maharajah Jungle Trek - Disney Animals,2021-07-23 23:55:06.616083-04:00,Closed
Migratory Birds at The Oasis Exhibits - Disney Animals,2021-07-23 23:55:06.616116-04:00,Closed
Migratory Birds at Tree of Life - Disney Animals,2021-07-23 23:55:06.616150-04:00,Closed
Okapis - Disney Animals,2021-07-23 23:55:06.616184-04:00,Closed
Rainforest Cafe® at Disney's Animal Kingdom,2021-07-23 23:55:06.616217-04:00,Closed
The Oasis Exhibits,2021-07-23 23:55:06.616251-04:00,Closed
Tigers - Disney Animals,2021-07-23 23:55:06.616292-04:00,Closed
Tree of Life,2021-07-23 23:55:06.616325-04:00,Closed
Tusker House Restaurant,2021-07-23 23:55:06.616359-04:00,Open
