ride,datetime,wait_times
Awesome Planet,2021-07-23 23:55:06.616543-04:00,Closed
Disney & Pixar Short Film Festival,2021-07-23 23:55:06.616636-04:00,Closed
Journey Into Imagination With Figment,2021-07-23 23:55:06.616676-04:00,Closed
Living with the Land,2021-07-23 23:55:06.616710-04:00,Closed
Mission: SPACE,2021-07-23 23:55:06.616744-04:00,Closed
Soarin',2021-07-23 23:55:06.616777-04:00,Closed
Spaceship Earth,2021-07-23 23:55:06.616811-04:00,Closed
Test Track Presented by Chevrolet,2021-07-23 23:55:06.616844-04:00,Closed
The Seas with Nemo & Friends,2021-07-23 23:55:06.616878-04:00,Closed
Turtle Talk With Crush,2021-07-23 23:55:06.616912-04:00,Closed
Beauty and the Beast Sing-Along – Now Open!,2021-07-23 23:55:06.616945-04:00,Closed
Frozen Ever After,2021-07-23 23:55:06.616980-04:00,Closed
Gran Fiesta Tour Starring The Three Caballeros,2021-07-23 23:55:06.617014-04:00,Closed
O Canada!,2021-07-23 23:55:06.617048-04:00,Closed
Advanced Training Lab,2021-07-23 23:55:06.617081-04:00,Closed
Akershus Royal Banquet Hall,2021-07-23 23:55:06.617114-04:00,Closed
American Heritage Gallery,2021-07-23 23:55:06.617147-04:00,Closed
Bijutsu-kan Gallery,2021-07-23 23:55:06.617180-04:00,Closed
Bruce's Shark World,2021-07-23 23:55:06.617213-04:00,Closed
Chefs de France,2021-07-23 23:55:06.617245-04:00,Closed
Coral Reefs - Disney Animals,2021-07-23 23:55:06.617285-04:00,Closed
Gallery of Arts and History,2021-07-23 23:55:06.617319-04:00,Closed
House of the Whispering Willows,2021-07-23 23:55:06.617352-04:00,Closed
"ImageWorks - The ""What If"" Labs",2021-07-23 23:55:06.617386-04:00,Closed
Invertebrates at Epcot - Disney Animals,2021-07-23 23:55:06.617420-04:00,Closed
Kidcot Fun Stops,2021-07-23 23:55:06.617453-04:00,Closed
La Cava del Tequila,2021-07-23 23:55:06.617486-04:00,Closed
Manatees - Disney Animals,2021-07-23 23:55:06.617519-04:00,Closed
Mexico Folk Art Gallery,2021-07-23 23:55:06.617553-04:00,Closed
Monsieur Paul,2021-07-23 23:55:06.617586-04:00,Closed
Nine Dragons Restaurant,2021-07-23 23:55:06.617619-04:00,Closed
Palais du Cinéma,2021-07-23 23:55:06.617652-04:00,Closed
Project Tomorrow: Inventing the Wonders of the Future,2021-07-23 23:55:06.617685-04:00,Closed
Reef Fish - Disney Animals,2021-07-23 23:55:06.617719-04:00,Closed
Remy's Ratatouille Adventure,2021-07-23 23:55:06.617751-04:00,Closed
Restaurant Marrakesh,2021-07-23 23:55:06.617784-04:00,Closed
Sea Turtles - Disney Animals,2021-07-23 23:55:06.617817-04:00,Closed
SeaBase,2021-07-23 23:55:06.617851-04:00,Closed
Sharks and Rays - Disney Animals,2021-07-23 23:55:06.617883-04:00,Closed
Stave Church Gallery,2021-07-23 23:55:06.617916-04:00,Closed
Teppan Edo,2021-07-23 23:55:06.617949-04:00,Closed
Tokyo Dining,2021-07-23 23:55:06.617982-04:00,Closed
Tutto Italia Ristorante,2021-07-23 23:55:06.618014-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-23 23:55:06.618047-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-23 23:55:06.618080-04:00,Closed
Awesome Planet,2021-07-24 10:22:45.492119-04:00,Closed
Disney & Pixar Short Film Festival,2021-07-24 10:22:45.492220-04:00,Closed
Journey Into Imagination With Figment,2021-07-24 10:22:45.492262-04:00,Closed
Living with the Land,2021-07-24 10:22:45.492296-04:00,Closed
Mission: SPACE,2021-07-24 10:22:45.492343-04:00,Closed
Soarin',2021-07-24 10:22:45.492378-04:00,Closed
Spaceship Earth,2021-07-24 10:22:45.492411-04:00,Closed
Test Track Presented by Chevrolet,2021-07-24 10:22:45.492445-04:00,Closed
The Seas with Nemo & Friends,2021-07-24 10:22:45.492479-04:00,Closed
Turtle Talk With Crush,2021-07-24 10:22:45.492513-04:00,Closed
Beauty and the Beast Sing-Along – Now Open!,2021-07-24 10:22:45.492547-04:00,Closed
Frozen Ever After,2021-07-24 10:22:45.492601-04:00,Closed
Gran Fiesta Tour Starring The Three Caballeros,2021-07-24 10:22:45.492639-04:00,Closed
O Canada!,2021-07-24 10:22:45.492680-04:00,Closed
Advanced Training Lab,2021-07-24 10:22:45.492715-04:00,Closed
Akershus Royal Banquet Hall,2021-07-24 10:22:45.492748-04:00,Closed
American Heritage Gallery,2021-07-24 10:22:45.492781-04:00,Closed
Bijutsu-kan Gallery,2021-07-24 10:22:45.492814-04:00,Closed
Bruce's Shark World,2021-07-24 10:22:45.492848-04:00,Closed
Chefs de France,2021-07-24 10:22:45.492881-04:00,Closed
Coral Reefs - Disney Animals,2021-07-24 10:22:45.492914-04:00,Closed
Gallery of Arts and History,2021-07-24 10:22:45.492947-04:00,Closed
House of the Whispering Willows,2021-07-24 10:22:45.492980-04:00,Closed
"ImageWorks - The ""What If"" Labs",2021-07-24 10:22:45.493014-04:00,Closed
Invertebrates at Epcot - Disney Animals,2021-07-24 10:22:45.493047-04:00,Closed
Kidcot Fun Stops,2021-07-24 10:22:45.493081-04:00,Closed
La Cava del Tequila,2021-07-24 10:22:45.493114-04:00,Closed
Manatees - Disney Animals,2021-07-24 10:22:45.493147-04:00,Closed
Mexico Folk Art Gallery,2021-07-24 10:22:45.493180-04:00,Closed
Monsieur Paul,2021-07-24 10:22:45.493213-04:00,Closed
Nine Dragons Restaurant,2021-07-24 10:22:45.493246-04:00,Closed
Palais du Cinéma,2021-07-24 10:22:45.493279-04:00,Closed
Project Tomorrow: Inventing the Wonders of the Future,2021-07-24 10:22:45.493313-04:00,Closed
Reef Fish - Disney Animals,2021-07-24 10:22:45.493346-04:00,Closed
Remy's Ratatouille Adventure,2021-07-24 10:22:45.493379-04:00,Closed
Restaurant Marrakesh,2021-07-24 10:22:45.493412-04:00,Closed
Sea Turtles - Disney Animals,2021-07-24 10:22:45.493445-04:00,Closed
SeaBase,2021-07-24 10:22:45.493478-04:00,Closed
Sharks and Rays - Disney Animals,2021-07-24 10:22:45.493510-04:00,Closed
Stave Church Gallery,2021-07-24 10:22:45.493543-04:00,Closed
Teppan Edo,2021-07-24 10:22:45.493576-04:00,Closed
Tokyo Dining,2021-07-24 10:22:45.493609-04:00,Closed
Tutto Italia Ristorante,2021-07-24 10:22:45.493641-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-24 10:22:45.493679-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-24 10:22:45.493713-04:00,Closed
Awesome Planet,2021-07-24 10:37:04.139430-04:00,Closed
Disney & Pixar Short Film Festival,2021-07-24 10:37:04.142119-04:00,Closed
Journey Into Imagination With Figment,2021-07-24 10:37:04.142248-04:00,Closed
Living with the Land,2021-07-24 10:37:04.142296-04:00,Closed
Mission: SPACE,2021-07-24 10:37:04.142336-04:00,Closed
Soarin',2021-07-24 10:37:04.142373-04:00,Closed
Spaceship Earth,2021-07-24 10:37:04.142410-04:00,Closed
