"
Star Wars Launch Bay Theater
",2021-07-23 23:55:06.618122-04:00,"
Closed
"
"
Walt Disney Presents
",2021-07-23 23:55:06.618185-04:00,"
Closed
"
"
Star Tours® - The Adventures Continue
",2021-07-23 23:55:06.618223-04:00,"
Closed
"
"
Vacation Fun - An Original Animated Short with Mickey & Minnie
",2021-07-23 23:55:06.618263-04:00,"
Closed
"
"
Mickey and Minnie's Runaway Railway
",2021-07-23 23:55:06.618298-04:00,"
Closed
"
"
Muppet*Vision 3D
",2021-07-23 23:55:06.618332-04:00,"
Closed
"
"
Toy Story Midway Mania!
",2021-07-23 23:55:06.618366-04:00,"
Closed
"
"
Millennium Falcon
",2021-07-23 23:55:06.618399-04:00,"
Closed
"
"
SWGE Attraction 2
",2021-07-23 23:55:06.618432-04:00,"
Closed
"
"
Lightning McQueen's Racing Academy
",2021-07-23 23:55:06.618465-04:00,"
Closed
"
"
Rock 'n' Roller Coaster Starring Aerosmith
",2021-07-23 23:55:06.618498-04:00,"
Closed
"
"
The Twilight Zone Tower of Terror
",2021-07-23 23:55:06.618532-04:00,"
Closed
"
"
Alien Swirling Saucers
",2021-07-23 23:55:06.618565-04:00,"
Closed
"
"
Slinky Dog Dash
",2021-07-23 23:55:06.618598-04:00,"
Closed
"
"
Star Wars Launch Bay
",2021-07-23 23:55:06.618631-04:00,"
Closed
"
"
Tune-In Lounge
",2021-07-23 23:55:06.618663-04:00,"
Closed
"
"
Star Wars Launch Bay Theater
",2021-07-24 10:22:45.493757-04:00,"
Closed
"
"
Walt Disney Presents
",2021-07-24 10:22:45.493843-04:00,"
20 mins
"
"
Star Tours® - The Adventures Continue
",2021-07-24 10:22:45.493883-04:00,"
20 mins
"
"
Vacation Fun - An Original Animated Short with Mickey & Minnie
",2021-07-24 10:22:45.493919-04:00,"
Open
"
"
Mickey and Minnie's Runaway Railway
",2021-07-24 10:22:45.493954-04:00,"
60 mins
"
"
Muppet*Vision 3D
",2021-07-24 10:22:45.493988-04:00,"
10 mins
"
"
Toy Story Midway Mania!
",2021-07-24 10:22:45.494022-04:00,"
50 mins
"
"
Millennium Falcon
",2021-07-24 10:22:45.494055-04:00,"
85 mins
"
"
SWGE Attraction 2
",2021-07-24 10:22:45.494089-04:00,"
Open
"
"
Lightning McQueen's Racing Academy
",2021-07-24 10:22:45.494122-04:00,"
Open
"
"
Rock 'n' Roller Coaster Starring Aerosmith
",2021-07-24 10:22:45.494156-04:00,"
55 mins
"
"
The Twilight Zone Tower of Terror
",2021-07-24 10:22:45.494191-04:00,"
65 mins
"
"
Alien Swirling Saucers
",2021-07-24 10:22:45.494225-04:00,"
30 mins
"
"
Slinky Dog Dash
",2021-07-24 10:22:45.494258-04:00,"
80 mins
"
"
Star Wars Launch Bay
",2021-07-24 10:22:45.494292-04:00,"
Closed
"
"
Tune-In Lounge
",2021-07-24 10:22:45.494325-04:00,"
Closed
"
"
Star Wars Launch Bay Theater
",2021-07-24 10:37:04.143925-04:00,"
Closed
"
"
Walt Disney Presents
",2021-07-24 10:37:04.143966-04:00,"
20 mins
"
"
Star Tours® - The Adventures Continue
",2021-07-24 10:37:04.144024-04:00,"
25 mins
"
"
Vacation Fun - An Original Animated Short with Mickey & Minnie
",2021-07-24 10:37:04.144061-04:00,"
Open
"
"
Mickey and Minnie's Runaway Railway
",2021-07-24 10:37:04.144104-04:00,"
60 mins
"
"
Muppet*Vision 3D
",2021-07-24 10:37:04.144138-04:00,"
10 mins
"
"
Toy Story Midway Mania!
",2021-07-24 10:37:04.144172-04:00,"
55 mins
"
"
Millennium Falcon
",2021-07-24 10:37:04.144205-04:00,"
85 mins
"
"
SWGE Attraction 2
",2021-07-24 10:37:04.144239-04:00,"
Open
"
"
Lightning McQueen's Racing Academy
",2021-07-24 10:37:04.144272-04:00,"
Open
"
"
Rock 'n' Roller Coaster Starring Aerosmith
",2021-07-24 10:37:04.144306-04:00,"
60 mins
"
"
The Twilight Zone Tower of Terror
",2021-07-24 10:37:04.144339-04:00,"
60 mins
"
"
Alien Swirling Saucers
",2021-07-24 10:37:04.144373-04:00,"
45 mins
"
"
Slinky Dog Dash
",2021-07-24 10:37:04.144406-04:00,"
80 mins
"
"
Star Wars Launch Bay
",2021-07-24 10:37:04.144439-04:00,"
Closed
"
"
Tune-In Lounge
",2021-07-24 10:37:04.144472-04:00,"
Closed
"
"
Star Wars Launch Bay Theater
",2021-07-24 10:41:04.095262-04:00,"
Closed
"
"
Walt Disney Presents
",2021-07-24 10:41:04.095314-04:00,"
20 mins
"
"
Star Tours® - The Adventures Continue
",2021-07-24 10:41:04.095351-04:00,"
40 mins
"
"
Vacation Fun - An Original Animated Short with Mickey & Minnie
",2021-07-24 10:41:04.095385-04:00,"
Open
"
"
Mickey and Minnie's Runaway Railway
",2021-07-24 10:41:04.095420-04:00,"
60 mins
"
"
Muppet*Vision 3D
",2021-07-24 10:41:04.095470-04:00,"
10 mins
"
"
Toy Story Midway Mania!
",2021-07-24 10:41:04.095506-04:00,"
55 mins
"
"
Millennium Falcon
",2021-07-24 10:41:04.095539-04:00,"
90 mins
"
"
SWGE Attraction 2
",2021-07-24 10:41:04.095572-04:00,"
Open
"
"
Lightning McQueen's Racing Academy
",2021-07-24 10:41:04.095605-04:00,"
Open
"
"
Rock 'n' Roller Coaster Starring Aerosmith
",2021-07-24 10:41:04.095713-04:00,"
60 mins
"
"
The Twilight Zone Tower of Terror
",2021-07-24 10:41:04.095747-04:00,"
105 mins
"
"
Alien Swirling Saucers
",2021-07-24 10:41:04.095780-04:00,"
40 mins
"
"
Slinky Dog Dash
",2021-07-24 10:41:04.095813-04:00,"
80 mins
"
"
Star Wars Launch Bay
",2021-07-24 10:41:04.095846-04:00,"
Closed
"
"
Tune-In Lounge
",2021-07-24 10:41:04.095878-04:00,"
Closed
"
Star Wars Launch Bay Theater,2021-07-24 11:01:05.497138-04:00,Closed
Walt Disney Presents,2021-07-24 11:01:05.497179-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 11:01:05.497213-04:00,45 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 11:01:05.497248-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 11:01:05.497283-04:00,70 mins
Muppet*Vision 3D,2021-07-24 11:01:05.497317-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 11:01:05.497350-04:00,50 mins
Millennium Falcon,2021-07-24 11:01:05.497383-04:00,90 mins
SWGE Attraction 2,2021-07-24 11:01:05.497416-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 11:01:05.497449-04:00,Open
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 11:01:05.497483-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-24 11:01:05.497516-04:00,95 mins
Alien Swirling Saucers,2021-07-24 11:01:05.497549-04:00,40 mins
Slinky Dog Dash,2021-07-24 11:01:05.497583-04:00,80 mins
Star Wars Launch Bay,2021-07-24 11:01:05.497616-04:00,Closed
Tune-In Lounge,2021-07-24 11:01:05.497648-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 11:21:05.313800-04:00,Closed
Walt Disney Presents,2021-07-24 11:21:05.314513-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 11:21:05.314642-04:00,35 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 11:21:05.314689-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 11:21:05.314725-04:00,80 mins
Muppet*Vision 3D,2021-07-24 11:21:05.314759-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 11:21:05.314793-04:00,50 mins
Millennium Falcon,2021-07-24 11:21:05.314827-04:00,90 mins
SWGE Attraction 2,2021-07-24 11:21:05.314861-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 11:21:05.314895-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 11:21:05.314929-04:00,70 mins
The Twilight Zone Tower of Terror,2021-07-24 11:21:05.314963-04:00,85 mins
Alien Swirling Saucers,2021-07-24 11:21:05.315005-04:00,50 mins
Slinky Dog Dash,2021-07-24 11:21:05.315039-04:00,80 mins
Star Wars Launch Bay,2021-07-24 11:21:05.315073-04:00,Closed
Tune-In Lounge,2021-07-24 11:21:05.315106-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 11:41:03.598162-04:00,Closed
Walt Disney Presents,2021-07-24 11:41:03.598199-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 11:41:03.598232-04:00,45 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 11:41:03.598268-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 11:41:03.598302-04:00,75 mins
Muppet*Vision 3D,2021-07-24 11:41:03.598339-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 11:41:03.598371-04:00,50 mins
Millennium Falcon,2021-07-24 11:41:03.598403-04:00,85 mins
SWGE Attraction 2,2021-07-24 11:41:03.598436-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 11:41:03.598468-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 11:41:03.598500-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-24 11:41:03.598533-04:00,50 mins
Alien Swirling Saucers,2021-07-24 11:41:03.598566-04:00,40 mins
Slinky Dog Dash,2021-07-24 11:41:03.598598-04:00,120 mins
Star Wars Launch Bay,2021-07-24 11:41:03.598630-04:00,Closed
Tune-In Lounge,2021-07-24 11:41:03.598680-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 12:01:03.889590-04:00,Closed
Walt Disney Presents,2021-07-24 12:01:03.889629-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 12:01:03.889665-04:00,40 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 12:01:03.889699-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 12:01:03.889733-04:00,70 mins
Muppet*Vision 3D,2021-07-24 12:01:03.889766-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 12:01:03.889807-04:00,55 mins
Millennium Falcon,2021-07-24 12:01:03.889840-04:00,95 mins
SWGE Attraction 2,2021-07-24 12:01:03.889873-04:00,Open
